model,precision,recall,f1,pr_auc
LogisticRegression (class_weight),0.05623306233062331,0.8736842105263158,0.10566518141311267,0.6719353631354262
RandomForest (class_weight),0.9583333333333334,0.7263157894736842,0.8263473053892215,0.8033342967478889
XGBoost (scale_pos_weight),0.9736842105263158,0.7789473684210526,0.8654970760233918,0.8251079788516725
