model,precision,recall,f1,pr_auc
LogisticRegression (class_weight),0.05623306233062331,0.8736842105263158,0.10566518141311267,0.6719353631354262
RandomForest (class_weight),0.9583333333333334,0.7263157894736842,0.8263473053892215,0.8033342967478889
XGBoost (scale_pos_weight),0.9736842105263158,0.7789473684210526,0.8654970760233918,0.8251079788516725
LogisticRegression (SMOTE),0.053035143769968054,0.8736842105263158,0.1,0.6768816018011278
RandomForest (SMOTE),0.9230769230769231,0.7578947368421053,0.8323699421965318,0.7982985969825134
XGBoost (SMOTE),0.7211538461538461,0.7894736842105263,0.7537688442211056,0.8118932498737618
